"Reference","Value","Qty","Digi_PN","MFG_PN","Tolerance"
"C1","22uF","1","490-GRM21BZ71A226ME15KCT-ND","GRM21BZ71A226ME15K",""
"C2,  C6,  C7,  C8","1uF","4","1276-1029-1-ND","CL21B105KBFNNNE",""
"C3,  C4,  C5","10pF","3","478-KGM21BCG1H100FTCT-ND","KGM21BCG1H100FT","1%"
"J1","RGB_OUT","1","WM8933CT-ND","0527460771",""
"J8","G_O","1","H11891CT-ND","U.FL-R-SMT-1(10)",""
"J9","B_O","1","H11891CT-ND","U.FL-R-SMT-1(10)",""
"J10","R_O","1","H11891CT-ND","U.FL-R-SMT-1(10)",""
"R1,  R2,  R3","7.5k","3","RMCF0805FT7K50CT-ND","RMCF0805FT7K50","1%"
"R4,  R5,  R6","430R","3","311-430CRCT-ND","RC0805FR-07430RL","1%"
"R7,  R8,  R9","75R","3","RNCP0805FTD75R0CT-ND","RNCP0805FTD75R0","1%"
"R10,  R11,  R12","240R","3","RMCF0805FT240RCT-ND","RMCF0805FT240R","1%"
"R13,  R14,  R15","110R","3","RMCF0805FT110RCT-ND","RMCF0805FT110R","1%"
"U1","THS7376","1","296-40584-1-ND","THS7376IPWR",""
